   Gen     Avg_len    Best_len     Best_path
   105     5.21285     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   106     5.21285     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   107     5.21285     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   108     5.21285     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   109     5.21285     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   110     5.21285     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   111     5.21285     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   112     5.21285     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   113     5.21285     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   114     5.21285     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   115     5.21285     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   116     5.21285     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   117     5.21285     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   118     5.21285     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   119     5.21285     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
   120     5.21285     5.21285     0 17 30 19 6 29 31 3 22 21 20 1 32 18 28 26 4 27 5 12 24 16 13 2 15 8 7 23 10 9 25 33 14 11 0
